"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JavaScript", "JSON", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\dev\dx-hunga-20251202-next\README.md", "Markdown", 0, 25, 0, 0, 0, 0, 0, 0, 0, 14, 39
"c:\dev\dx-hunga-20251202-next\app\dev\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 2, 6, 51
"c:\dev\dx-hunga-20251202-next\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 826, 154, 213, 1193
"c:\dev\dx-hunga-20251202-next\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 4, 40
"c:\dev\dx-hunga-20251202-next\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 300, 0, 34, 67, 401
"c:\dev\dx-hunga-20251202-next\components\chart-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 163, 0, 8, 23, 194
"c:\dev\dx-hunga-20251202-next\components\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 182, 0, 32, 28, 242
"c:\dev\dx-hunga-20251202-next\components\hunga.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1585, 0, 66, 143, 1794
"c:\dev\dx-hunga-20251202-next\components\loading\loading-spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 20, 8, 88
"c:\dev\dx-hunga-20251202-next\components\material-input-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 120, 0, 8, 17, 145
"c:\dev\dx-hunga-20251202-next\components\prediction-detail-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 222, 0, 6, 15, 243
"c:\dev\dx-hunga-20251202-next\components\prediction-list-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 3, 10, 132
"c:\dev\dx-hunga-20251202-next\components\property-select-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 179, 0, 11, 17, 207
"c:\dev\dx-hunga-20251202-next\components\relearning-log-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 586, 0, 23, 34, 643
"c:\dev\dx-hunga-20251202-next\components\resultPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 515, 0, 47, 81, 643
"c:\dev\dx-hunga-20251202-next\components\select-popup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 361, 0, 13, 27, 401
"c:\dev\dx-hunga-20251202-next\data\code-name-map.ts", "TypeScript", 170, 0, 0, 0, 0, 0, 0, 0, 0, 3, 173
"c:\dev\dx-hunga-20251202-next\data\dummy-data.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 9, 9, 50
"c:\dev\dx-hunga-20251202-next\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 2, 3, 19
"c:\dev\dx-hunga-20251202-next\next.config.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"c:\dev\dx-hunga-20251202-next\package-lock.json", "JSON", 0, 0, 0, 0, 6854, 0, 0, 0, 0, 1, 6855
"c:\dev\dx-hunga-20251202-next\package.json", "JSON", 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\dev\dx-hunga-20251202-next\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\dev\dx-hunga-20251202-next\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\dev\dx-hunga-20251202-next\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\dev\dx-hunga-20251202-next\public\loading\spinner-load-icon.svg", "XML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 49
"c:\dev\dx-hunga-20251202-next\public\logo\gshinsung.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\dev\dx-hunga-20251202-next\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\dev\dx-hunga-20251202-next\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\dev\dx-hunga-20251202-next\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\dev\dx-hunga-20251202-next\styles\styles.ts", "TypeScript", 549, 0, 0, 0, 0, 0, 0, 0, 3, 30, 582
"c:\dev\dx-hunga-20251202-next\tsconfig.json", "JSON with Comments", 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\dev\dx-hunga-20251202-next\types\slider.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\dev\dx-hunga-20251202-next\types\types.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"c:\dev\dx-hunga-20251202-next\utils\makeExcel.ts", "TypeScript", 286, 0, 0, 0, 0, 0, 0, 0, 10, 31, 327
"Total", "-", 1095, 25, 44, 20, 6887, 63, 4471, 826, 454, 799, 14684